cited_person_clean,wikidata_id,wikidata_label,cited_gender
. Mitterand,,,unknown
Denise Radenne,,,unknown
Bertrand Leperre,,,unknown
Jules Tell,Q3188932,Jules Tellier,male
Pierre Bouchaudy,,,unknown
Michel Martin,Q6836482,Michel Martin,female
Louis-Michel Vignau,,,unknown
Pierre Bleuler,Q3384035,Pierre Bleuler,male
Jean Journe,Q289081,Jean Journet,male
Maurice Ramond,,,unknown
Andre Bascou,Q2847220,André Bascou,male
Raymond Leissner,,,unknown
Votez Leissner,,,unknown
Ihr Vertrauen,,,unknown
Robert Hoffmann,Q84926,Robert Hoffmann,male
Georges Graf,Q136955260,,male
Germain Sprauer,Q3104145,Germain Sprauer,male
Jean Joho,Q75964206,Jean Joho,male
Rene Fuchs,Q3426225,René Fuchs,male
Auguste Bechler,,,unknown
Andre Erbland,,,unknown
Edouard Boeglin,Q112385036,Édouard Boeglin,male
Michel Laferrere,Q78184722,Michel Laferrère,male
Georges Cumin,,,unknown
Jacques Bertrand,Q3158267,Jacques Bertrand,male
Jean-Jacques Beucler,Q3166181,Jean-Jacques Beucler,male
Paul Duraffour,Q3371142,Paul Duraffour,male
Gerard Chevalier,Q65573371,Gérard Chevalier,male
Gerard Chasseguet,Q3123831,Gérard Chasseguet,male
Henry Lelievre,,,unknown
Louis Besson,Q3083592,Louis Besson,male
Maurice Herzog,Q505819,Maurice Herzog,male
Raymond Colibeau,Q16672270,Raymond Colibeau,male
Roger Trugnan,Q93429518,Roger Trugnan,male
Louis Moulinet,Q3262756,Louis Moulinet,male
Claude Bourdet,Q2977067,Claude Bourdet,male
Christian De La Malene,Q2965727,Christian Lunet de La Malène,male
Pierre Ferri,Q3384982,Pierre Ferri,male
Francois Missoffe,Q1278120,François Missoffe,male
Regine Blaess-Varon,Q3455493,Régine Blaess,female
Jean-Marc Brissaud,Q41737426,Jean-Marc Brissaud,male
Docteur Damamme,,,unknown
Jean-Claude Pezier,,,unknown
Claude Malandain,,,unknown
Raymond Offroy,Q3421075,Raymond Offroy,male
Auguste Chretienne,Q2871126,Auguste Chrétienne,male
Marc Lauriol,Q3288176,Marc Lauriol,male
Jean Blard,,,unknown
Jacqueline Thome-Patenotre,Q3157809,Jacqueline Thome-Patenôtre,female
Pierre Charbonneau,Q61342661,Pierre Charbonneau,male
Maurice Delplace,Q101054185,Maurice Delplace,male
Andre Forens,Q1907548,André Forens,male
Andre Ribiere,,,unknown
Rene Buxeraud,,,unknown
Marcel Gourmand,,,unknown
Hubert Louis,Q130382705,Hubert Louis,male
Michel Bonhenry,,,unknown
Lucien Couqueberg,Q3265441,Lucien Couqueberg,male
Jean-Claude Fortuit,Q3164968,Jean-Claude Fortuit,male
Daniel Perrin,Q1162073,Daniel Perrin,male
Claude Schuhl,,,unknown
Albin Chalandon,Q1193378,Albin Chalandon,male
Yves Cornic,Q16683795,Yves Cornic,male
Jacques Van Der Stegen,,,unknown
Henri Le Gall,Q124866176,Henri Le Gall,male
Jean-Pierre Ginter,,,unknown
Pierre Kaldor,Q2093556,Pierre Kaldor,male
Marcelin Berthelot,Q3289511,Marcelin Berthelot,male
Jean-Pierre Jeffroy,,,unknown
Raymond Chapin,,,unknown
Jean-Marie Bernard,Q20556460,Jean-Marie Bernard,male
M. Odru,,,unknown
Georges Gosnat,Q3102791,Georges Gosnat,male
Rene Nectoux,Q122368758,René Nectoux,male
Maurice Thomas,Q100934832,Maurice Thomas,male
Gilbert Esteve,Q132637775,Gilbert Estève,male
Marc Domec,,,unknown
Andre Bergerioux,,,unknown
Georges Duchesne,Q110031135,Georges Duchesne,male
Pierrette Joachim,,,unknown
Jean Prost,Q1387893,Nicolas Jean-Prost,male
Noel Pachoud,,,unknown
Pierre Guillaumin,,,unknown
Roger Limoges,,,unknown
Pierre Girardot,Q3385234,Pierre Girardot,male
Louis Fiori,,,unknown
Michele Mathieu,Q96203908,Michèle Mathieu-Dramard,unknown
Jean-Marie Alaize,Q3167538,Jean-Marie Alaize,male
Andre Fargier,,,unknown
Gilbert Seguela,,,unknown
Andre Farellacci,,,unknown
Robert Royer,Q3436193,Robert Royer,male
Antoine Azeau,,,unknown
Eugene Tournie,,,unknown
Ere Electrice,,,unknown
Notre President,,,unknown
Huguette Pouteau,,,unknown
Francis Hardy,Q3081480,Francis Hardy,male
Charles Parnet,,,unknown
M. Hersant,,,unknown
Herve Vouillot,Q3134662,Hervé Vouillot,male
Jean-Pierre Vignier,,,unknown
Andre Colombel,,,unknown
Yvon Bonnot,Q3574078,Yvon Bonnot,male
Christian Defarge,Q2965234,Christian Défarge,male
Jacques Ricard,Q101421579,Jacques Ricard,male
Pierre Beylot,Q15973713,Pierre Beylot,male
Martine Bultot,,,unknown
Henriette Paley,,,unknown
Raymond Maulny,,,unknown
Jean Roudaut,Q3174433,Jean Roudaut,male
Madame Caill,Q508672,Henriette Caillaux,female
Jean Crenn,Q16749704,Jean Crenn,male
Dominique Bucchini,Q3035032,Dominique Bucchini,male
Colette Attia,Q118133408,Colette Attia,female
Jean Matouk,Q3173461,Jean Matouk,male
Francois Farre,,,unknown
Jacques Brussiau,,,unknown
Claude Mellier,,,unknown
Pierre Augey,Q65564097,Pierre Augey,male
Jean-Michel Jardry,,,unknown
Pierre Sirgue,Q3387009,Pierre Sirgue,male
Pierre Leroy-Beaulieu,Q3385946,Pierre Leroy-Beaulieu,male
Jean Farret,,,unknown
Xavier Bourges,,,unknown
Guy Gerbaud,,,unknown
Jean-Claude Guillerm,,,unknown
Jean-Paul Simon,Q63835877,Jean-Paul Simon,male
Alban Chertier,,,unknown
Gerard Beaudin,,,unknown
Robert Veyret,,,unknown
Maurice Poirier,Q115255859,Maurice Poirier,male
Jean-Francois Perrin,Q62309430,Jean-François Perrin,male
Jean-Paul Petit,Q106223997,Jean-Paul Petit,male
Jean-Paul Chartron,,,unknown
Rene Raffier,,,unknown
Joel Busson,,,unknown
Patrick Cotrel,,,unknown
Martine Buron,Q3295746,Martine Buron,female
Raymond Cerclier,,,unknown
Camille Durand,Q116963006,Camille Durand,female
Pierre Lanson,,,unknown
Bernard Charpentier,Q33122689,Bernard Charpentier,male
Alain Chastagnol,Q2829654,Alain Chastagnol,male
Christian Martin,Q112817471,Christian Martin,male
Edmond Alphandery,Q3047730,Edmond Alphandéry,male
Daniel Dupuis,Q3013986,Daniel Dupuis,male
President De La Republique Francaise,,,unknown
Claude Gatignol,Q2977451,Claude Gatignol,male
Jean Tissot,Q27502052,Jean Tissot,male
Robert Ravillon,,,unknown
R. P. R.,Q76068664,R. P. R. Anderson,male
Jean Carrier,Q2447717,Jean Carrier,male
Roger Theveneau,,,unknown
Claude Huriet,Q2977556,Claude Huriet,male
Georges Husson,Q124409632,Georges Husson,male
Jacques Mourer,,,unknown
Jean-Marie Francois,Q18021162,Jean Marie van Cauwenbergh,male
Patrick Badouel,,,unknown
Nicolas Schiffler,Q18744965,Nicolas Schiffler,male
Roger Gauthier,Q16266498,Roger Gauthier,male
Fernand Beckrich,,,unknown
Georges Delfosse,Q3102575,Georges Delfosse,male
Jean-Raymond De Greve,,,unknown
Michel Laignel,,,unknown
Jean Demailly,Q3175552,Jean de Mailly,male
Gerard Caudron,Q3123830,Gérard Caudron,male
Gerard Cuvillier,,,unknown
Jean-Louis Vanachter,,,unknown
Jean Descamps,Q55773041,Jean-Luc Descamps,male
Andre Bonal,,,unknown
Rene Fortier,Q101124560,René Fortier,male
Andre Grudet,,,unknown
Bernard Quandalle,,,unknown
Philippe Grunewald,,,unknown
Maurice Adevah-Poeuf,Q3300301,Maurice Adevah-Pœuf,male
B. Favodon,,,unknown
Jean-Claude Jacob,Q42105557,Jean Jacob,male
Jacques Longue,Q3159413,Jacques Longueval,male
Didier Serfaty,,,unknown
Rene Klauth,,,unknown
Roger Schmitt,Q89599887,Roger Schmitt,male
Alex Loos,,,unknown
Jean-Claude Delbarre,,,unknown
Giscard D'Es- Taing,,,unknown
Henri Papot,,,unknown
Alain Martinez,Q135918044,Alain Martinez,male
Roland Bernard,Q3439957,Roland Bernard,male
Francoise Pagano,,,unknown
Roger Luquet,,,unknown
Jean Taulelle,Q50374733,Jean Taulelle,male
Yvon Luby,,,unknown
Jacques Jusforgues,,,unknown
Pierre Gascher,Q3385154,Pierre Gascher,male
Joseph Frapard,,,unknown
Robert Collombier,,,unknown
Yves Repiquet,Q33185089,Yves Repiquet,male
Philippe Farine,Q3379819,Philippe Farine,male
Maurice Lassalle,,,unknown
Alain Hubert,Q65585526,Alain Hubert,male
Laure Schneiter,Q106564827,Laure Schneiter,female
Andre-Marie Rocque,,,unknown
Jean-Marc Casso,,,unknown
Marcel Laurent,Q3289108,Marcel Laurent,male
Pierre Andrieu,Q100323236,Pierre Andrieu,male
Marcel Mortier,Q97003706,Marcel Mortier,male
Eugene Seleskovitch,,,unknown
Pierre Soulat,Q65602748,Pierre Soulat,male
Nicole Questiaux,Q3341110,Nicole Questiaux,female
Bernard Guilleron,,,unknown
Michel Roger,Q57849,Michel Roger,male
Francois Cosserat,Q15675553,François Cosserat,male
Gerard Flamand,,,unknown
Michel Boulanger,Q3309068,Michel Boulanger,male
Elie Cros,,,unknown
Michel Charrot,,,unknown
Victor Bouclier,,,unknown
Danielle De March,Q16266649,Danielle de March-Ronco,female
Daniel Astier,,,unknown
Jean-Jacques Fouqueteau,Q16467639,Jean-Jacques Fouqueteau,male
Marc Verdon,Q16467633,Marc Verdon,male
Hubert Voilquin,Q3142112,Hubert Voilquin,male
Didier Schuller,Q3027199,Didier Schuller,male
Lucien Lanternier,Q100998507,Lucien Lanternier,male
Gis- Card-Barre,,,unknown
Jean-Paul Benoit,Q16645322,Jean-Paul Benoit,male
Rene Saracino,,,unknown
Patrick Ollier,Q976436,Patrick Ollier,male
Edouard Valensi,,,unknown
Jean-Pierre Boue,,,unknown
Jean-Paul Martinerie,,,unknown
Raymond Gosselet,,,unknown
Rene Magne,Q137622831,René Magnen,unknown
Roger Morel,Q57201902,Roger Morel,male
Gabriel Bourdin,Q115926022,Gabriel Bourdin,male
Albert Bunelier,,,unknown
Maurice Bayer,,,unknown
Paul Benard,Q3370775,Paul Bénard,male
Jean-Claude Fruteau,Q3164979,Jean-Claude Fruteau,male
Tahiti Tiama,,,unknown
Gerard Mathieu,Q3124166,Gérard Mathieu,male
Jacques De Brosses,Q725816,Salomon de Brosse,male
Robert Niel,Q3436009,Robert Nyel,male
Andre Bellon,Q2847253,André Bellon,male
Regis Debray,Q378116,Régis Debray,male
Francis Giolitti,Q17485968,Francis Giolitti,male
Jean-Hugues Colonna,Q3166137,Jean-Hugues Colonna,male
Herve De Charette,Q1366170,Hervé de Charette,male
Michel Vuibert,Q3311098,Michel Vuibert,male
Augustin Bonrepaux,Q2871535,Augustin Bonrepaux,male
Gis- Card,,,unknown
Arlette Laquelle,,,unknown
Roger Coulon,Q3438849,Roger Coulon,male
Francois Hollande,Q157,François Hollande,male
A. Lejeune,Q99472361,,male
Jean-Louis Desroches,Q98246721,Jean-Louis Desroches,male
Piero Rainero,,,unknown
Robert Ruas,Q60176584,Robert Ruas,male
Robert Huguenard,Q3435428,Robert Huguenard,male
Jacques Belhomme,Q3158231,Jacques Belhomme,male
Alain Roqueblave,,,unknown
Francoise Lancelot,,,unknown
Jacqueline Balluet,,,unknown
Lucien Moullier,Q58006641,Lucien Moullier,unknown
Jean Drevelle,,,unknown
Jean-Louis Dumont,Q3166748,Jean-Louis Dumont,male
Bernard Thareau,Q2898658,Bernard Thareau,male
Robert Malgras,Q3435820,Robert Malgras,male
Francois Mitterrand President,,,unknown
Simone Rignault,Q3484601,Simone Rignault,female
Michel Carnois,,,unknown
Yvon Mairesse,,,unknown
Michel Sergent,Q3310857,Michel Sergent,male
Claude Galametz,Q18744809,Claude Galametz,male
Michel Debatisse,Q3309405,Michel Debatisse,male
Maurice Adevah-Pœuf,Q3300301,Maurice Adevah-Pœuf,male
Renee Soum,Q3427180,Renée Soum,female
Raymond Gruber,Q104440597,Raymond Gruber,male
Michel Schmitt,Q80639952,Michel Schmitt,unknown
Gilbert Michel,Q20851393,Gilbert Michel,male
Lucille Richert,,,unknown
Marie-Francoise Frobert,,,unknown
Claude Jambon,,,unknown
Frederic Bernabe,,,unknown
Jean-Marc Nesme,Q3167448,Jean-Marc Nesme,male
J .- P. Michaud-Leris,,,unknown
Anne-Marie Couderc,Q2850847,Anne-Marie Couderc,female
Serge Blisko,Q3479211,Serge Blisko,male
Bertrand Delanoe,Q256294,Bertrand Delanoë,male
President Mitterand,,,unknown
Daniel Brunel,Q65570433,Daniel Brunelles,male
Jacqueline Penez,,,unknown
Jacqueline Hoffmann,Q3157741,Jacqueline Hoffmann,female
Jean Blas,Q16199466,Jean Blashfield Black,female
Christian Carrillo,Q57017833,Christian Carrillo,male
Jean Henri Calmon,,,unknown
Claude Roblin,,,unknown
Andre Roth,Q57275214,André Roth,male
Gerard Braun,Q3123794,Gérard Braun,male
. Soisson,,,unknown
Jean-Jacques Robert,Q3166393,Jean-Jacques Robert,male
Milena Nokovitch,Q49254300,Milena Nokovitch,female
Michel Margnes,Q16664316,Michel Margnes,male
Robert Dray,Q107720544,Robert Drayton,male
Francoise Richard,Q98247105,Françoise Richard,female
Robert Hue,Q937091,Robert Hue,male
Gilbert Annette,Q3105581,Gilbert Annette,male
Roch Pidjot,Q3437780,Rock Pidjot,male
Raymond Froment,Q21407438,Raymond Froment,male
Francois Colcombet,Q3084292,François Colcombet,male
Claude Malhuret,Q389141,Claude Malhuret,male
Pierre Delmar,Q3384687,Pierre Delmar,male
Daniel Spagnou,Q3014713,Daniel Spagnou,male
Jean-Yves Dusserre,Q3170132,Jean-Yves Dusserre,male
A. Lajoinie,,,unknown
Honore Colomas,Q63764180,Honoré Colomas,male
Christian Estrosi,Q749029,Christian Estrosi,male
Robert Crepin,Q51952818,Robert Crépin,male
Henri Rossi,Q124882055,Henri Rossi,male
Jacques Dondoux,Q3158752,Jacques Dondoux,male
Sylvain Dalla Rosa,,,unknown
Jeanne Ettori,,,unknown
Rene Montoro,,,unknown
Maurice Toga,Q8315486,Maurice Toga,male
Michel Vaxes,Q3311053,Michel Vaxès,male
Germaine Pivasset,,,unknown
Marc Bellet,Q110173903,Marc Bellette,unknown
Jean-Claude Cherrier,Q3164910,Jean-Claude Cherrier,male
Jerome Lambert,Q2385796,Jérôme Lambert,male
Jean-Claude Beauchaud,Q3164832,Jean-Claude Beauchaud,male
Marcel Thomas,Q36386000,Marcel Thomas,male
Michel Baron,Q163964,Michel Baron,male
Pierre-Jean Daviaud,Q3383167,Pierre-Jean Daviaud,male
Louis Berthou,Q3261243,Louis Berthoud,male
Jean-Claude Robert,Q16645205,Jean-Claude Robert,male
Louis Conan,,,unknown
Thierry Chandernagor,Q33287235,Thierry Chandernagor,male
Paul Duvaleix,Q16265294,Paul Duvaleix,male
Claude Girard,Q64706958,Claude Girard,male
Michel Jacquemin,Q3309965,Michel Jacquemin,male
Jean Bourdenet,,,unknown
Jean-Jacques Hubert,,,unknown
Guy Dugres,,,unknown
Guy-Rene Leclercq,,,unknown
Alain Clary,Q2829670,Alain Clary,male
Max Romanet,Q60176519,Max Romanet,male
Francine Gomez,Q32830738,Francine Gomez,female
Alain Pihouee,,,unknown
Francoise De Veyrinas,Q3086657,Françoise de Veyrinas,female
Helene Mignon,Q3144819,Hélène Mignon,female
Jemenin Le Pas Vote,,,unknown
Philippe Dubourg,Q3379764,Philippe Dubourg,male
Francois Feral,Q112453356,François Féral,male
Yves Cochet,Q1398216,Yves Cochet,male
Jacky Le Menn,Q592313,Jacky Le Menn,male
Michel Durandeau,,,unknown
Henri Louet,Q16641591,Henri Louet,male
Bernard Debre,Q2897761,Bernard Debré,male
Andre Bezin,,,unknown
Pierre Talagrand,,,unknown
Francois Rochebloine,Q3085724,François Rochebloine,male
Catherine Gravoille,,,unknown
Alain Saillant,,,unknown
Michel Boju,,,unknown
Pierre Bauchet,Q55771194,Pierre Bauchet,male
Hubert Grimault,Q3142020,Hubert Grimault,male
Marc Laffineur,Q3288161,Marc Laffineur,male
Bernard Cauvin,Q2897648,Bernard Cauvin,male
Jean-Michel Gauby,,,unknown
Antoine Troglic,,,unknown
Jean-Francois Grandbastien,Q65583991,Jean-François Grandbastien,male
Jacques Marchal,Q65591778,Jacques Marchal,male
Christian Eckert,Q1079375,Christian Eckert,male
Michel Godard,Q708230,Michel Godard,male
Michel Morvant,Q65593930,Michel Morvant,male
Aloyse Warhouver,Q2839367,Aloyse Warhouver,male
Michel Treheux,,,unknown
Jean Schuler,Q1267672,Jean Schuler,male
Colette Codaccioni,Q2982480,Colette Codaccioni,female
Yves Perlein,,,unknown
Aldebert Valette,,,unknown
Jean-Paul Lajeunesse,Q137700094,Jean Paul Lajeunesse,male
Marie-Therese Lenoir,,,unknown
Jean-Pierre Pont,Q3169663,Jean-Pierre Pont,male
Francis Leroy,Q108143771,Francis Leroy,male
Daniel Dewalle,,,unknown
Serge Janquin,Q3479364,Serge Janquin,male
Maryse Coupin,Q3296348,Maryse Roger-Coupin,female
Gilbert Rolos,,,unknown
Alain Neri,Q2830133,Alain Néri,male
Catherine Guy-Quint,Q2941948,Catherine Guy-Quint,female
Rene Claverie,,,unknown
Jean Lassalle,Q3173022,Jean Lassalle,male
Gerard Tremege,Q3124340,Gérard Trémège,male
Madame Mademoiselle,,,unknown
Francois Beffara,,,unknown
Remi Feutren,,,unknown
Raymond Haeffner,,,unknown
Lucien Zimmermann,,,unknown
Bernard Rodenstein,Q33120226,Bernard Rodenstein,male
Gerard Freulet,Q3123964,Gérard Freulet,male
Marc Schittly,Q63765659,Marc Schittly,male
Jean Grimont,Q3172396,Jean Grimont,male
Joseph Spiegel,Q23618021,Joseph Spiegel,male
Gerard Moog,,,unknown
Jean-Michel Dubernard,Q3168006,Jean-Michel Dubernard,male
Marcel Andre,Q3288609,Marcel André,male
Jean-Louis Bellaton,,,unknown
Jean-Claude Bahu,Q3164821,Jean-Claude Bahu,male
Philippe Legras,Q3380207,Philippe Legras,male
Chantal Bathias,,,unknown
Michel Meylan,Q3310347,Michel Meylan,male
Joseph Fournier,Q28377874,Joseph-Xavier Fournier,male
Jean-Marc Chavanne,Q3167347,Jean-Marc Chavanne,male
Bernard Accoyer,Q822237,Bernard Accoyer,male
Benoite Taffin,Q2896684,Benoîte Taffin,female
Gilles Lacan,Q33104451,Gilles Lacan,male
Pierre Alleaume,,,unknown
Paul Violet,Q41983503,Paul Violet,male
Daniele Hoffman,Q3015141,Danièle Hoffman-Rispal,female
Claude Goasguen,Q2746785,Claude Goasguen,male
Pascal Buchet,Q3367313,Pascal Buchet,male
Jean-Christophe Cambadelis,Q1684726,Jean-Christophe Cambadélis,male
Marie-France Gouriou,,,unknown
Annie Guillemet,,,unknown
Louis Caumont,,,unknown
Jean-Claude Mignon,Q1188660,Jean-Claude Mignon,male
Jacques Lollioz,,,unknown
Pierre Frigul,,,unknown
Rene Anger,,,unknown
Richard Canac,,,unknown
Jean-Michel Couve,Q868322,Jean-Michel Couve,male
Hubert Falco,Q2750200,Hubert Falco,male
Pierre Fructus,,,unknown
Jean-Michel Ferrand,Q3168020,Jean-Michel Ferrand,male
Jacques Bompard,Q362223,Jacques Bompard,male
Charles Descubes,,,unknown
Marie-Francoise Perol-Dumont,Q3291832,Marie-Françoise Pérol-Dumont,female
Jean-Pierre Thomas,Q3169783,Jean-Pierre Thomas,male
Philippe Auberger,Q3379248,Philippe Auberger,male
Amaury Couderc,,,unknown
Jean Marsaudon,Q3173419,Jean Marsaudon,male
Pierre Avenard,,,unknown
Jean-Yves Haby,Q2363059,Jean-Yves Haby,male
Jean-Jacques Guillet,Q3166286,Jean-Jacques Guillet,male
Janine Jambu,Q3161998,Janine Jambu,female
Bernard Sandaran,,,unknown
Pierre Ringenbach,Q3386804,Pierre Ringenbach,male
Jean-Francois Merle,Q63372371,Jean-François Merle,male
Alain Lipietz,Q662743,Alain Lipietz,male
Isabelle Thomas,Q3155046,Isabelle Thomas,female
Roger Prevot,Q56654494,Roger Prevotal,male
Michel Marien,Q98246313,Michel Marien,male
Henriette Martinez,Q3132482,Henriette Martinez,female
Alain Lambert,Q429805,Alain Lambert,male
Henri-Rene Garaud,Q32016607,Henri-René Garaud,male
Remo Jeanmougin,,,unknown
Marie-Jeanne Courtier,,,unknown
Damien Bariller,Q3012738,Damien Bariller,male
Fernand Boulan,Q132672515,Fernand Boulan,male
Francois Sauvadet,Q3085816,François Sauvadet,male
Michel Protte,,,unknown
Dominique Bousquet,Q3035016,Dominique Bousquet,male
Kofi Yamgnane,Q178339,Kofi Yamgnane,male
Paul Cabanie,,,unknown
Michel Leclerc,Q108682979,Michel Leclerc,male
Richard Nouguier,,,unknown
Michel Blondeau,Q3309030,Michel Blondeau,male
Herve Novelli,Q2850772,Hervé Novelli,male
Cedric Philibert,Q33230341,Cédric Philibert,male
Pierre Bon,Q26408,Pierre Bonnard,male
Hubert Fayard,Q42959432,Hubert Fayard,male
Jacques Le Touze,,,unknown
Daniele Bohain-Louis,,,unknown
Martine Aubry,Q228977,Martine Aubry,female
Guy Manoux,,,unknown
Alphonse Bourgasser,Q2839717,Alphonse Bourgasser,male
Francoise Hostalier,Q3086528,Françoise Hostalier,female
Emmanuel Dewees Franck Dhersin,,,unknown
Claude Larcanche,,,unknown
Lucien Degauchy,Q3265461,Lucien Degauchy,male
Amaury De Saint Quentin,Q2841410,Amaury de Saint-Quentin,male
Charles Gheerbrant,Q2959201,Charles Gheerbrant,male
Jacques Clostermann,Q30726908,Jacques Clostermann,male
Harry Lapp,Q3127848,Harry Lapp,male
Alain Ferry,Q2829803,Alain Ferry,male
Michel Habig,Q3309865,Michel Habig,male
Marc Fraysse,Q3288044,Marc Fraysse,male
Imprime Services Macon,,,unknown
Jean-Paul Anciaux,Q3168334,Jean-Paul Anciaux,male
Andre Quincy,,,unknown
Michel Vivien,Q112467722,Michel Vivien,male
Saddam Hussein,Q1316,Saddam Hussein,male
Eric Chevaillier,,,unknown
Colette Raffalli,,,unknown
Daniel Blot,Q114313373,Daniel Blot,male
Jacques Gerard,Q108229372,Jacques Gérard,male
Michele Valladon,,,unknown
Yannick Dumont,,,unknown
Bernard Bellec,Q2897510,Bernard Bellec,male
Jacques Brossard,Q3158409,Jacques Brossard,male
Jean-Pierre Raffarin,Q63263,Jean-Pierre Raffarin,male
Jean Bouly,Q102285913,Jean Bouly,male
M. De Robien,,,unknown
Jean-Pierre Cave,Q3169113,Jean-Pierre Cave,male
Jean-Louis Bouguereau,Q70242969,Jean-Louis Bouguereau,male
Marie-Claude Bompard,Q3291701,Marie-Claude Bompard,female
Jacques-Michel Faure,Q3158024,Jacques-Michel Faure,male
Damien Meslot,Q3012817,Damien Meslot,male
Jean-Luc Rouge,Q3167260,Jean-Luc Rougé,male
Alain Josse,Q65586405,Alain Josse,male
Georges Tron,Q3103572,Georges Tron,male
Monsieur Balkany,,,unknown
Frederic Gailland,,,unknown
Emile Claude Rodriguez,,,unknown
Jean-Pierre Guidon,Q106649291,Jean-Pierre Guidon,male
Bernard Messeant,,,unknown
Jean-Marie Beaudet,Q358769,Jean-Marie Beaudet,male
Michel Chomarat,Q106363168,Michel Chomarat,male
Guy Bleriot,,,unknown
Pierre Lemret,,,unknown
Claude Delorme,Q2977267,Claude Delorme,male
Chaban- Delmas,,,unknown
General Billotte,,,unknown
Paul Chomicki,,,unknown
Michel Deberdt,,,unknown
Paul Antier,Q3370485,Paul Antier,male
Jean-Jacques Servan- Schreiber,,,unknown
Albert Liogier,Q2831345,Albert Liogier,male
Georges Repeczky,Q122368324,Georges Repeczky,male
Michelle Wauthier,,,unknown
Roger Senie,Q3439456,Roger Sénié,male
Jacques Delhalle,Q17350542,Jacques Delhalle,male
Maurice Martin,Q115269911,Maurice Martin,male
Francis Vals,Q3081722,Francis Vals,male
J .- P. Cassabel,,,unknown
Marcel Escalie,,,unknown
Jean Gabriac,Q17350593,Jean Gabriac,male
Roger Julien,Q3439124,Roger Julien,male
Henry Bergasse,Q3132621,Henry Bergasse,male
Jean Chelini,Q3171314,Jean Chélini,male
Charles Bonifay,Q2958574,Charles Bonifay,male
Maurice Bertrand,Q117351816,Maurice Bertrand,male
Lucien Weygand,Q23759284,Lucien Weygand,male
Laurent Chazal,Q50756678,Laurent Chazal,male
Guy Crest,,,unknown
Jean-Pierre De Peretti,Q3169853,Jean-Pierre de Peretti,male
Pierre Bourgine,,,unknown
Augustin Chauvet,Q2871547,Augustin Chauvet,male
Jean Ferrant,,,unknown
Leon Belly,Q3270722,Léon Belly,male
Raphael Sistane,,,unknown
Albert Bignon,Q8310248,Albert Bignon,male
Pierre Abelin,Q2381218,Pierre Abelin,male
Rene Billeres,Q2676536,René Billères,male
Gilles Chovet,,,unknown
Pierre Lavau,Q584460,Mazan,male
Michel Blanchard,Q132796628,Michel Blanchard,male
Couve De Murville,Q312034,Maurice Couve de Murville,male
Auguste Variot,,,unknown
Le Candidat,,,unknown
Marie-Madeleine Dienesch,Q3292113,Marie-Madeleine Dienesch,female
Yves Guyader,,,unknown
Pierre Bourdelles,Q19606828,Pierre Bourdellès,male
Pierre Jagoret,Q3385561,Pierre Jagoret,male
Gilbert Carrez,,,unknown
Gabriel Coullaud,,,unknown
Maurice Pic,Q6793412,Maurice Pic,male
Elie Belle,,,unknown
M. De Broglie,,,unknown
Guy Blin,,,unknown
Remi Lecasble,,,unknown
Andre Essirard,,,unknown
J. Lecanuet,,,unknown
Gabriel De Poulpiquet,Q3094024,Gabriel de Poulpiquet,male
Alphonse Penven,Q16798530,Alphonse Penven,male
Andre Le Gac,,,unknown
Antoine Caill,Q2853755,Antoine Caill,male
Raymond Le Saux,,,unknown
Jacques Villard,Q64224399,Jacques Villard,male
Henri Valy,Q60158917,Henri Valy,male
Robert Verdier,Q3436471,Robert Verdier,male
Pierre Jalu,Q3385565,Pierre Jalu,male
Alain Savary,Q477121,Alain Savary,male
Antoine Osete,,,unknown
Andre Loyen,Q2848190,André Loyen,male
Alain Beneteau,Q107383615,Alain Beneteau,male
Jacques Soule,Q123177366,Jacques Soulet,male
Marc Bœuf Marc Bœuf,,,unknown
Daniel Tran,Q18158908,Daniel Tranel,male
Rene Bach,Q7313661,René Bach,male
Henriette Poirier,Q16266561,Henriette Poirier,female
Rene Cassagne,Q20027773,René Cassagne,male
Raymond-Georges Julien,,,unknown
Guy Antoune,Q19606422,Guy Antoune,male
Jean Barriere,Q726908,Jean-Baptiste Barrière,male
Jacques Dudognon,,,unknown
Pierre Espagnet,,,unknown
Jean Lafourcade,,,unknown
Jacques Bonnet,Q3158320,Jacques Bonnet,male
Pierre Arraut,Q15455176,Pierre Arraut,male
Andre Galan,Q115472517,André Galan,male
Me Le Douarec,,,unknown
Yves Corvaisier,,,unknown
Henri Martin,Q954657,Henri Martin,male
Jean Lelong,Q110995415,Jean Lelong,male
Andre Chollet,Q2847520,André Chollet,male
Simone Doux,,,unknown
Pierre Salazard,,,unknown
Roger Coste,Q3438843,Roger Coste,male
Gilbert Corsat,,,unknown
Louis Jaillon,Q16259796,Louis Jaillon,male
Francois Mortelette,Q3085413,François Mortelette,male
Pierre-Roger Gaussin,Q16026805,Pierre-Roger Gaussin,male
Roger Mansuy,Q102416212,Roger Mansuy,male
Maurice Clerc,Q109946365,Maurice Clerc,male
Roger Partrat,Q3439344,Roger Partrat,male
Georges Rouchouze,,,unknown
Francois Garcia,Q3084676,François Garcia,male
Paul Roux,Q1558100,Paul Roux,male
Maurice Thorez,Q345408,Maurice Thorez,male
Auguste Monnier,Q21521652,Auguste Monnier,male
Jean-Claude Groeninck,,,unknown
Rene Blanchard,Q64665949,René Blanchard,male
Guy David,Q15454735,Guy David,male
James Vallee,Q98930865,James E. Vallee,male
