cited_person_clean,wikidata_id,wikidata_label,cited_gender
Louis Philibert,Q1871919,Louis Philibert,male
Pierre Charles,Q3384372,Pierre Charles,male
Rodolphe Pesce,Q3438364,Rodolphe Pesce,male
Robert Vizet,Q3436497,Robert Vizet,male
Philippe Lebreton,Q3380182,Philippe Lebreton,male
José Rossi,Q3186558,José Rossi,male
Bruno Vennin,Q2927013,Bruno Vennin,male
Jean Ueberschlag,Q3174880,Jean Ueberschlag,male
Simone Veil,Q298180,Simone Veil,female
Philippe Seguin,Q543332,Philippe Séguin,male
F Rançois Mitterrand,,,unknown
Jacques Duhamel,Q3158801,Jacques Duhamel,male
Pierre Lagorce,Q3385732,Pierre Lagorce,male
Pierre Bernard,Q1336903,Pierre Bernard,male
Jacques Houssin,Q3159124,Jacques Houssin,male
Paul Laurent,Q2060867,Paul Laurent,male
Jean Durieux,Q3171891,Jean Durieux,male
Charles Haby,Q2959299,Charles Haby,male
Louis Odru,Q3262816,Louis Odru,male
Roger Daviet,,,unknown
Charles Millon,Q55843460,Charles Millon,male
Pierre Maître,Q108183040,Pierre Maître,male
Michel Hannoun,Q3309872,Michel Hannoun,male
Yves Tavernier,Q3573977,Yves Tavernier,male
Francois Mitterrand,Q2038,François Mitterrand,male
François Mitterrand Président De La,,,unknown
Alfred Muller,Q102182802,Alfred Müller,male
Pierre Dumas,Q3384852,Pierre Dumas,male
Jean Jaurès,Q12688,Jean Jaurès,male
Robert Galley,Q345888,Robert Galley,male
Jacques Cambolive,Q3158452,Jacques Cambolive,male
Alain Poher,Q12950,Alain Poher,male
Joseph Pinard,Q3185492,Joseph Pinard,male
Maurice Dousset,Q3300708,Maurice Dousset,male
Emile Jourdan,Q3588585,Émile Jourdan,male
Olivier Guichard,Q766194,Olivier Guichard,male
Bernard Derosier,Q2897781,Bernard Derosier,male
Claude Estier,Q2977355,Claude Estier,male
Max Lejeune,Q3302200,Max Lejeune,male
Jean-Jacques Barthe,Q3166172,Jean-Jacques Barthe,male
André Delelis,Q2847627,André Delelis,male
Joseph Legrand,Q3185242,Joseph Legrand,male
Jean-Pierre Cot,Q826275,Jean-Pierre Cot,male
Antoine Rufenacht,Q2856700,Antoine Rufenacht,male
Jean-Pierre Chevenement,Q736502,Jean-Pierre Chevènement,male
Raymond Forni,Q359005,Raymond Forni,male
Jacques Baumel,Q1242626,Jacques Baumel,male
Jean-Claude Lamant,Q3165038,Jean-Claude Lamant,male
Roland Carraz,Q3439983,Roland Carraz,male
Commandant Cousteau,Q83233,Jacques-Yves Cousteau,male
Jean Waline,Q3175087,Jean Waline,male
Jean-Paul Fuchs,Q3168496,Jean-Paul Fuchs,male
Robert Borrel,Q3434615,Robert Borrel,male
Claude Germon,Q2977465,Claude Germon,male
Guy Vaxelaire,,,unknown
Bernard Tapie,Q728645,Bernard Tapie,male
Jack Lang,Q379229,Jack Lang,male
Emmanuel Aubert,Q57025527,Emmanuel Aubert,male
General De Gaulle,Q2042,Charles de Gaulle,male
Jean Boinvilliers,Q3170818,Jean Boinvilliers,male
Etienne Garnier,Q3592178,Étienne Garnier,male
Jean Bernard,Q928270,Jean Bernard,male
René Chevailler,Q55286989,René Chevailler,male
Roger Fenech,Q17350579,Roger Fenech,male
Jacques Chambaz,Q3158488,Jacques Chambaz,male
Maurice Quettier,Q19359534,Maurice Quettier,male
Pierre Mazeaud,Q492259,Pierre Mazeaud,male
Gilbert Bonnemaison,Q3105612,Gilbert Bonnemaison,male
André Petit,Q2848426,André Petit,male
Marius Masse,Q3293830,Marius Masse,male
Kléber Haye,Q3197942,Kléber Haye,male
Marcel Roques,Q3289347,Marcel Roques,male
Paul Chomat,Q3370877,Paul Chomat,male
Jean-Claude Portheault,Q3165180,Jean-Claude Portheault,male
Job Durupt,Q3179790,Job Durupt,male
Jean-Pierre Defontaine,Q3169180,Jean-Pierre Defontaine,male
Jean-Pierre Baeumler,Q3168956,Jean-Pierre Baeumler,male
Bernard Schreiner,Q2898601,Bernard Schreiner,male
Jean-Marie Bockel,Q981661,Jean-Marie Bockel,male
Jean Mouton,Q1660965,Jean Mouton,male
Jean-Claude Decagny,Q3164934,Jean-Claude Decagny,male
Abbé Pierre,Q306933,abbé Pierre,male
Roland Renard,Q3440238,Roland Renard,male
Pierre Bachelet,Q1373824,Pierre Bachelet,male
Pierre Bérégovoy,Q298355,Pierre Bérégovoy,male
Louis Le Pensec,Q497610,Louis Le Pensec,male
"Madame, Monsieur",,,unknown
Georges Durand,Q1508878,Georges Durand,male
Jean Falala,Q3171967,Jean Falala,male
Jean Seitlinger,Q3174605,Jean Seitlinger,male
Alain Bocquet,Q2829584,Alain Bocquet,male
Alain Faugaret,Q2829796,Alain Faugaret,male
Claude Pringalle,Q2978000,Claude Pringalle,male
Georges Bustin,Q3102399,Georges Bustin,male
Gustave Ansart,Q3121105,Gustave Ansart,male
Albert Maton,Q18744866,Albert Maton,male
Jean Jarosz,Q3172795,Jean Jarosz,male
Arthur Dehaine,Q2865065,Arthur Dehaine,male
